0,1,2,3,4,5,6,7,8,9,10,11,12
157.891,480,4733,1776729,6254165,0,8030894,820000,29.97,320,240,219464,1.156
106.765,1280,2669,4427240,6911026,0,11338266,56000,15,1920,1080,219480,21.629
906.5983,176,10879,597549,5760936,0,6358485,109000,29.97,480,360,165668,2.408
448.575,1280,13441,9132637,105950761,0,115083398,109000,29.97,640,480,217080,15.873
339.667,640,10191,10121223,820261,0,10941484,539000,25,320,240,219480,2.524
222.53334,480,6676,2821722,11099102,0,13920824,5000000,15,1280,720,217348,16.317
177.33333,176,2128,100969,1089548,0,1190517,539000,25,1280,720,163024,6.256
106.765,1280,2669,4427240,6911026,0,11338266,109000,12,640,480,219480,6.032
157.80167,1280,3945,5611970,51306874,0,56918844,5000000,25,480,360,216064,24.534
52.68,480,1318,870136,1579497,0,2449633,539000,12,176,144,139940,2.104
292.092,480,8755,2375028,15155062,0,17530090,109000,15,1280,720,219480,5.212
77.233,480,2318,182297,3510033,0,3692330,242000,24,480,360,219480,9.753
177.33333,176,2128,100969,1089548,0,1190517,242000,15,320,240,163008,1.144
750.433,1280,10112,3852576,70635013,0,74487589,3000000,29.97,480,360,165700,4.216
42.2,480,1056,216154,1306770,0,1522924,5000000,15,320,240,216820,2.072
254.922,480,7636,918325,7387906,0,8306231,242000,24,640,480,221160,4.588
316.95166,176,3803,111850,2082902,0,2194752,56000,12,480,360,165700,3.52
204.938,480,3280,1451634,6166260,0,7617894,539000,12,176,144,80604,1.392
395.44,1280,9886,5073258,74605061,0,79678319,539000,15,640,480,221160,1.828
750.433,1280,10112,3852576,70635013,0,74487589,5000000,29.97,1280,720,165700,15.665
204.938,480,3280,1451634,6166260,0,7617894,820000,24,320,240,83516,2.26
326.583,640,8163,1868804,41239444,0,43108248,820000,24,640,480,215712,20.125
86.486,640,2593,819680,3029350,0,3849030,3000000,24,1280,720,334120,31.594
95.462,640,2862,886496,8770159,0,9656655,5000000,15,176,144,221160,1.652
316.95166,176,3803,111850,2082902,0,2194752,242000,25,480,360,165700,0.484
98.683334,176,1184,48267,636993,0,685260,539000,15,480,360,217852,1.276
426.945,1280,12795,11297544,45523691,0,56821235,539000,29.97,1920,1080,219480,8.729
256.20834,176,3074,302900,1540700,0,1843600,539000,12,320,240,219480,3.272
33.09,320,456,101794,1052937,0,1154731,242000,15,640,480,219480,3.112
282.56,640,7065,4966509,14806840,0,19773349,5000000,12,1920,1080,661944,48.339
239.14166,480,5978,1406751,13545526,0,14952277,820000,15,480,360,120828,10.869
384.451,640,11523,2839955,28225248,0,31065203,3000000,29.97,640,480,217828,2.324
326.583,640,8163,1868804,41239444,0,43108248,3000000,25,320,240,215712,11.373
750.433,1280,10112,3852576,70635013,0,74487589,109000,12,640,480,166748,6.268
368.32,640,9208,869558,470067,0,1339625,56000,12,1280,720,221152,6.832
339.667,640,10191,10121223,820261,0,10941484,539000,24,320,240,219480,2.18
157.891,480,4733,1776729,6254165,0,8030894,109000,24,480,360,219464,2.888
391.08,640,9778,9023743,2261252,0,11284995,5000000,25,1280,720,322516,23.917
110.966995,480,3330,529627,4978664,0,5508291,3000000,15,1920,1080,216820,35.094
273.816,1920,6843,6190779,47579961,0,53770740,56000,29.97,480,360,219656,9.357
490.6,480,12266,1448177,16976151,0,18424328,56000,15,640,480,219480,5.292
64.933,320,975,318954,1603007,0,1921961,820000,12,320,240,217080,2.632
225.08,480,5628,1873408,13275961,0,15149369,109000,12,1920,1080,216820,6.012
476.957,1280,14305,3487520,79210885,0,82698405,3000000,25,1920,1080,165700,7.588
222.53334,480,6676,2821722,11099102,0,13920824,5000000,12,480,360,217348,3.976
255.28,320,6382,611474,7374864,0,7986338,109000,29.97,640,480,216820,7.804
167.39166,1280,4017,4369420,41819887,0,46189307,56000,25,320,240,219656,7.188
222.53334,480,6676,2821722,11099102,0,13920824,56000,25,320,240,217348,3.52
1768.9417,176,21227,1382103,11034284,0,12416387,5000000,15,480,360,245836,16.941
167.39166,1280,4017,4369420,41819887,0,46189307,242000,25,176,144,219656,3.904
69.933,320,1050,349781,2035796,0,2385577,539000,29.97,480,360,219656,12.181
311.1,176,3733,127552,2066350,0,2193902,820000,29.97,1920,1080,634272,52.659
282.56,640,7065,4966509,14806840,0,19773349,242000,25,1920,1080,220900,12.957
286.995,480,6882,2285153,15944803,0,18229956,5000000,29.97,1920,1080,216820,17.985
255.28,320,6382,611474,7374864,0,7986338,242000,29.97,176,144,216820,1.944
98.683334,176,1184,48267,636993,0,685260,5000000,24,320,240,218136,0.352
476.957,1280,14305,3487520,79210885,0,82698405,56000,25,640,480,165696,7.856
860.056,1280,25773,12989828,276022270,0,289012098,539000,15,640,480,262264,14.845
167.39166,1280,4017,4369420,41819887,0,46189307,242000,12,1920,1080,219656,6.088
143.03334,176,1716,56405,856907,0,913312,820000,12,640,480,219480,0.808
448.575,1280,13441,9132637,105950761,0,115083398,3000000,25,1280,720,319644,78.717
326.58832,1920,7830,16603953,228322925,0,244926878,5000000,24,480,360,218932,8.377
203.198,320,6078,853613,5225468,0,6079081,109000,24,1280,720,221160,7.048
177.33333,176,2128,100969,1089548,0,1190517,539000,24,176,144,163024,0.848
177.33333,176,2128,100969,1089548,0,1190517,56000,12,320,240,163632,1.912
127.221664,1920,3050,3818903,45174992,0,48993895,5000000,25,1920,1080,217348,17.229
34.168,480,1021,238485,559745,0,798230,56000,15,1280,720,165700,2.208
368.32,640,9208,869558,470067,0,1339625,539000,12,320,240,221152,1.184
326.583,640,8163,1868804,41239444,0,43108248,3000000,15,1920,1080,212880,35.37
69.93833,176,839,47521,448322,0,495843,3000000,15,320,240,221152,1.08
107.443,480,3220,671936,3625932,0,4297868,820000,24,480,360,216820,3.224
163.897,320,4913,824159,4646573,0,5470732,820000,24,320,240,219656,0.608
106.765,1280,2669,4427240,6911026,0,11338266,242000,24,1280,720,219480,17.725
473,320,11826,1419320,8047423,0,9697521,3000000,15,320,240,220900,0.772
95.462,640,2862,886496,8770159,0,9656655,820000,12,320,240,221160,3.788
77.233,480,2318,182297,3510033,0,3692330,3000000,25,1280,720,321904,65.56
326.58832,1920,7830,16603953,228322925,0,244926878,539000,15,480,360,218932,18.941
176.901,480,4420,393395,202954,0,596349,539000,12,320,240,218932,1.344
326.583,640,8163,1868804,41239444,0,43108248,3000000,15,640,480,212880,8.925
63.667,640,956,1259657,6480438,0,7740095,3000000,24,320,240,219656,1.392
157.80167,1280,3945,5611970,51306874,0,56918844,3000000,25,320,240,216064,13.341
250.017,320,7494,856855,3926589,0,4783444,242000,25,1920,1080,642188,39.45
340.424,320,4081,1168939,9234909,0,10403848,3000000,24,640,480,221152,0.756
63.667,640,956,1259657,6480438,0,7740095,242000,15,640,480,219656,1.624
39.055,1920,1170,839251,28416939,0,29256190,3000000,25,1280,720,215940,42.403
98.683334,176,1184,48267,636993,0,685260,539000,15,1280,720,217880,1.132
476.957,1280,14305,3487520,79210885,0,82698405,5000000,12,1920,1080,165696,9.741
203.198,320,6078,853613,5225468,0,6079081,56000,29.97,640,480,221160,4.664
490.6,480,12266,1448177,16976151,0,18424328,56000,12,480,360,219480,3.736
42.2,480,1056,216154,1306770,0,1522924,242000,25,1920,1080,662308,38.922
130.35667,176,1564,64483,825054,0,889537,242000,12,320,240,65780,3.544
476.957,1280,14305,3487520,79210885,0,82698405,242000,15,480,360,165700,9.417
86.486,640,2593,819680,3029350,0,3849030,242000,15,176,144,219656,2.148
106.765,1280,2669,4427240,6911026,0,11338266,820000,29.97,640,480,219480,4.476
189.956,320,5694,580292,4911734,0,5492026,56000,15,1280,720,218664,8.237
33.09,320,456,101794,1052937,0,1154731,539000,12,1280,720,219480,12.261
157.80167,1280,3945,5611970,51306874,0,56918844,3000000,15,480,360,216020,4.504
255.28,320,6382,611474,7374864,0,7986338,539000,25,176,144,216820,1.64
581.233,480,17438,10151572,11352574,0,21504146,3000000,15,1920,1080,218932,4.88
177.33333,176,2128,100969,1089548,0,1190517,242000,15,176,144,163008,0.732
43.827,320,1104,137210,1354404,0,1491614,820000,24,480,360,218932,3.808
98.683334,176,1184,48267,636993,0,685260,56000,12,1920,1080,217880,2.336
286.995,480,6882,2285153,15944803,0,18229956,3000000,12,176,144,216820,2.132
63.667,640,956,1259657,6480438,0,7740095,242000,29.97,320,240,219656,4.552
384.451,640,11523,2839955,28225248,0,31065203,242000,15,320,240,217828,4.744
311.1,176,3733,127552,2066350,0,2193902,820000,29.97,176,144,221160,0.664
282.56,640,7065,4966509,14806840,0,19773349,109000,24,1280,720,221152,2.828
43.827,320,1104,137210,1354404,0,1491614,5000000,25,1280,720,218932,3.668
37.011665,1280,1109,1899633,10866846,0,12766479,539000,15,1280,720,219480,7.272
98.683334,176,1184,48267,636993,0,685260,3000000,24,1920,1080,217880,16.605
143.03334,176,1716,56405,856907,0,913312,539000,15,320,240,219656,4.524
204.938,480,3280,1451634,6166260,0,7617894,539000,29.97,1920,1080,98724,22.557
906.5983,176,10879,597549,5760936,0,6358485,539000,12,480,360,165668,7.164
326.58832,1920,7830,16603953,228322925,0,244926878,5000000,24,1920,1080,709672,152.998
157.891,480,4733,1776729,6254165,0,8030894,56000,29.97,320,240,219464,3.852
49.178333,176,344,33046,300986,0,334032,56000,12,640,480,221160,0.444
256.20834,176,3074,302900,1540700,0,1843600,109000,15,320,240,219480,2.52
77.233,480,2318,182297,3510033,0,3692330,539000,29.97,320,240,219480,1.192
69.93833,176,839,47521,448322,0,495843,56000,15,176,144,221152,0.916
49.178333,176,344,33046,300986,0,334032,3000000,12,480,360,221160,4.468
906.5983,176,10879,597549,5760936,0,6358485,539000,15,1920,1080,165668,22.365
311.1,176,3733,127552,2066350,0,2193902,56000,29.97,176,144,221160,0.284
217.518,480,6520,406683,1851539,0,2258222,3000000,12,1280,720,322568,22.329
256.20834,176,3074,302900,1540700,0,1843600,109000,25,176,144,219480,0.32
379.32,480,9484,3392479,5235193,0,8627672,539000,25,640,480,219480,11.173
326.58832,1920,7830,16603953,228322925,0,244926878,5000000,29.97,1280,720,218932,10.033
63.667,640,956,1259657,6480438,0,7740095,56000,12,320,240,219656,1.72
426.945,1280,12795,11297544,45523691,0,56821235,3000000,29.97,1920,1080,219480,15.697
52.68,480,1318,870136,1579497,0,2449633,109000,25,1280,720,139940,8.389
1140.349,1280,34208,20478926,320859863,0,341338789,109000,24,1280,720,219480,5.572
131.76,640,3294,945865,778937,0,1724802,242000,12,176,144,221152,0.804
52.68,480,1318,870136,1579497,0,2449633,109000,29.97,1280,720,139940,10.781
316.95166,176,3803,111850,2082902,0,2194752,56000,12,1280,720,165700,9.769
37.011665,1280,1109,1899633,10866846,0,12766479,820000,29.97,480,360,219480,21.581
69.93833,176,839,47521,448322,0,495843,109000,12,480,360,221152,0.464
130.35667,176,1564,64483,825054,0,889537,242000,15,320,240,66048,3.7
316.95166,176,3803,111850,2082902,0,2194752,5000000,24,1280,720,165700,1.772
1140.349,1280,34208,20478926,320859863,0,341338789,539000,12,480,360,219480,12.221
177.33333,176,2128,100969,1089548,0,1190517,539000,12,1920,1080,634072,41.199
256.20834,176,3074,302900,1540700,0,1843600,3000000,25,320,240,219480,1.348
368.32,640,9208,869558,470067,0,1339625,3000000,15,640,480,221152,0.792
204.938,480,3280,1451634,6166260,0,7617894,109000,25,1280,720,86208,1.968
127.221664,1920,3050,3818903,45174992,0,48993895,539000,12,176,144,217348,7.748
368.32,640,9208,869558,470067,0,1339625,820000,24,640,480,221152,3.436
581.233,480,17438,10151572,11352574,0,21504146,109000,29.97,1920,1080,218932,16.517
326.583,640,8163,1868804,41239444,0,43108248,242000,15,176,144,212772,2.036
458.625,640,13746,5308581,24350943,0,29659524,539000,24,176,144,216820,2.668
216.55,320,6491,1789334,6091735,0,7881069,3000000,29.97,320,240,212576,5.188
95.462,640,2862,886496,8770159,0,9656655,3000000,29.97,480,360,221160,9.845
34.168,480,1021,238485,559745,0,798230,820000,29.97,1280,720,310580,33.086
59.883,1280,1793,481774,6965881,0,7447655,3000000,12,176,144,155028,3.228
256.20834,176,3074,302900,1540700,0,1843600,242000,15,320,240,219480,3.044
326.583,640,8163,1868804,41239444,0,43108248,242000,24,640,480,213260,1.392
106.765,1280,2669,4427240,6911026,0,11338266,56000,29.97,1920,1080,219480,6.472
304.927,320,7623,833754,4286526,0,5120280,5000000,24,1920,1080,216820,13.657
33.09,320,456,101794,1052937,0,1154731,820000,24,1920,1080,219480,25.802
385.052,1280,9232,16244376,5023129,0,21267505,109000,29.97,1920,1080,641768,41.387
452.689,320,2579,207037,3566163,0,3773200,242000,25,176,144,252756,2.884
384.451,640,11523,2839955,28225248,0,31065203,539000,15,1920,1080,680596,46.195
290.01666,176,3478,119325,1794184,0,1913509,242000,24,176,144,132476,1.292
239.14166,480,5978,1406751,13545526,0,14952277,820000,29.97,320,240,114120,1.156
34.168,480,1021,238485,559745,0,798230,539000,15,176,144,165700,2.004
304.927,320,7623,833754,4286526,0,5120280,56000,12,176,144,216820,1.22
458.625,640,13746,5308581,24350943,0,29659524,3000000,15,1280,720,216820,10.269
316.95166,176,3803,111850,2082902,0,2194752,56000,25,480,360,165700,3.136
316.95166,176,3803,111850,2082902,0,2194752,3000000,24,1920,1080,165700,3.116
274.541,480,8228,802625,3994697,0,4797322,109000,29.97,1920,1080,216064,16.125
391.08,640,9778,9023743,2261252,0,11284995,3000000,24,320,240,219480,0.968
256.20834,176,3074,302900,1540700,0,1843600,242000,12,176,144,219480,0.32
256.20834,176,3074,302900,1540700,0,1843600,5000000,24,176,144,219480,1.8
131.76,640,3294,945865,778937,0,1724802,109000,29.97,640,480,221152,5.164
106.765,1280,2669,4427240,6911026,0,11338266,56000,29.97,1920,1080,219480,14.449
107.443,480,3220,671936,3625932,0,4297868,242000,25,640,480,216820,8.301
43.827,320,1104,137210,1354404,0,1491614,5000000,29.97,1920,1080,218932,17.469
203.198,320,6078,853613,5225468,0,6079081,242000,29.97,320,240,221160,4.46
52.68,480,1318,870136,1579497,0,2449633,3000000,15,1280,720,324116,60.58
476.957,1280,14305,3487520,79210885,0,82698405,242000,29.97,320,240,165700,3.044
131.76,640,3294,945865,778937,0,1724802,5000000,12,1920,1080,221152,15.597
222.53334,480,6676,2821722,11099102,0,13920824,820000,25,320,240,217336,3.536
34.168,480,1021,238485,559745,0,798230,5000000,25,480,360,165700,9.769
476.957,1280,14305,3487520,79210885,0,82698405,56000,12,640,480,165700,7.072
256.20834,176,3074,302900,1540700,0,1843600,56000,25,640,480,219480,6.616
69.93833,176,839,47521,448322,0,495843,539000,29.97,1280,720,221152,6.82
52.68,480,1318,870136,1579497,0,2449633,539000,24,1920,1080,140080,6.224
239.14166,480,5978,1406751,13545526,0,14952277,56000,15,1920,1080,114580,8.441
157.891,480,4733,1776729,6254165,0,8030894,5000000,25,1280,720,333488,54.171
131.76,640,3294,945865,778937,0,1724802,5000000,15,1920,1080,221152,7.296
239.14166,480,5978,1406751,13545526,0,14952277,242000,24,1280,720,95300,7.444
69.933,320,1050,349781,2035796,0,2385577,242000,12,320,240,219656,0.404
59.883,1280,1793,481774,6965881,0,7447655,5000000,25,1920,1080,155028,15.201
77.233,480,2318,182297,3510033,0,3692330,56000,12,1280,720,219480,2.312
127.221664,1920,3050,3818903,45174992,0,48993895,242000,25,1920,1080,217544,9.405
225.08,480,5628,1873408,13275961,0,15149369,5000000,12,640,480,216820,3.232
95.462,640,2862,886496,8770159,0,9656655,820000,25,480,360,221160,1.972
379.32,480,9484,3392479,5235193,0,8627672,56000,12,480,360,219464,2.648
127.221664,1920,3050,3818903,45174992,0,48993895,3000000,24,176,144,217544,13.225
274.541,480,8228,802625,3994697,0,4797322,242000,24,320,240,216820,4.452
906.5983,176,10879,597549,5760936,0,6358485,5000000,25,1280,720,319928,48.991
274.541,480,8228,802625,3994697,0,4797322,820000,24,1920,1080,657340,65.28
384.451,640,11523,2839955,28225248,0,31065203,5000000,15,1920,1080,683308,89.578
340.424,320,4081,1168939,9234909,0,10403848,820000,29.97,480,360,221152,3.056
157.80167,1280,3945,5611970,51306874,0,56918844,56000,12,1280,720,216020,5.24
69.93833,176,839,47521,448322,0,495843,5000000,24,1280,720,221152,6.152
292.092,480,8755,2375028,15155062,0,17530090,3000000,15,640,480,219480,28.042
270.655,640,8117,1912240,20178890,0,22091130,56000,12,1280,720,219480,4.604
37.011665,1280,1109,1899633,10866846,0,12766479,3000000,24,480,360,219480,6.508
204.938,480,3280,1451634,6166260,0,7617894,242000,29.97,176,144,91572,2.24
225.08,480,5628,1873408,13275961,0,15149369,56000,29.97,640,480,216820,8.561
273.816,1920,6843,6190779,47579961,0,53770740,5000000,25,320,240,219656,5.808
33.09,320,456,101794,1052937,0,1154731,109000,15,640,480,219480,5.892
69.93833,176,839,47521,448322,0,495843,539000,24,1280,720,221152,10.513
273.816,1920,6843,6190779,47579961,0,53770740,820000,15,1920,1080,219656,9.901
34.168,480,1021,238485,559745,0,798230,242000,24,640,480,165700,8.949
714.371,1280,21407,14532530,43720516,0,58253046,5000000,29.97,480,360,164888,5.308
143.03334,176,1716,56405,856907,0,913312,56000,24,1280,720,303344,20.869
42.2,480,1056,216154,1306770,0,1522924,5000000,12,640,480,216820,2.692
69.933,320,1050,349781,2035796,0,2385577,820000,15,176,144,219656,3.188
59.883,1280,1793,481774,6965881,0,7447655,5000000,12,320,240,161976,3.06
340.424,320,4081,1168939,9234909,0,10403848,5000000,25,1280,720,221152,13.597
384.451,640,11523,2839955,28225248,0,31065203,539000,15,1920,1080,217544,8.389
391.08,640,9778,9023743,2261252,0,11284995,56000,12,1920,1080,219480,6.016
448.575,1280,13441,9132637,105950761,0,115083398,539000,29.97,640,480,217080,4.396
80.536,480,2417,618732,6327913,0,6946645,56000,29.97,1920,1080,219480,51.415
167.39166,1280,4017,4369420,41819887,0,46189307,242000,25,320,240,219656,4.244
286.995,480,6882,2285153,15944803,0,18229956,56000,29.97,1920,1080,216820,15.897
304.927,320,7623,833754,4286526,0,5120280,242000,12,480,360,216820,2.14
339.667,640,10191,10121223,820261,0,10941484,3000000,12,480,360,219480,1.996
72.32,640,1809,960882,7174174,0,8135056,3000000,25,1280,720,326508,82.757
304.927,320,7623,833754,4286526,0,5120280,5000000,24,176,144,216820,1.768
110.966995,480,3330,529627,4978664,0,5508291,56000,24,1280,720,319568,18.921
32.966,480,989,213280,2083158,0,2296438,109000,25,176,144,44488,2.992
326.58832,1920,7830,16603953,228322925,0,244926878,3000000,25,1280,720,218932,46.831
581.233,480,17438,10151572,11352574,0,21504146,5000000,12,320,240,218932,5.72
1140.349,1280,34208,20478926,320859863,0,341338789,539000,15,176,144,219480,5.48
157.80167,1280,3945,5611970,51306874,0,56918844,539000,29.97,176,144,216056,4.36
69.933,320,1050,349781,2035796,0,2385577,242000,29.97,640,480,219656,6.28
476.957,1280,14305,3487520,79210885,0,82698405,820000,12,176,144,165700,4.616
222.53334,480,6676,2821722,11099102,0,13920824,820000,29.97,1280,720,217336,8.389
216.55,320,6491,1789334,6091735,0,7881069,109000,25,640,480,204148,1.28
385.052,1280,9232,16244376,5023129,0,21267505,3000000,24,320,240,219480,2.708
254.922,480,7636,918325,7387906,0,8306231,242000,15,320,240,221160,1
316.95166,176,3803,111850,2082902,0,2194752,5000000,25,480,360,165700,2.38
49.178333,176,344,33046,300986,0,334032,820000,29.97,1920,1080,663396,58.78
