0,1,2,3,4,5,6,7,8
-121.76,38.68,38,674,178,701,189,1.3942,69400
-121.91,36.62,40,1292,271,504,230,2.475,258300
-122.41,37.75,52,1892,415,1442,371,4.2891,230000
-118.1,33.96,38,1657,335,1195,309,4.1711,160100
-117.17,32.81,26,2424,388,974,375,4.739,184100
-118.2,34.04,44,1582,544,1998,515,1.6888,125000
-120.22,38.05,14,3803,689,1129,477,2.7188,137000
-117.9,33.6,25,2465,585,906,472,3.6538,500001
-118.21,34.02,45,792,203,872,188,2.6875,129700
-122.4,37.68,36,3595,815,1649,755,3.3816,253400
-118.25,33.9,38,1201,223,733,206,3.3804,105800
-117.92,33.98,10,16414,2919,8907,2714,6.1552,362500
-122.12,40.14,34,1950,407,1029,376,2.5197,82300
-122.49,38.32,17,3308,720,1587,632,3.2727,176000
-117.9,34.11,23,4776,1316,4797,1187,2.1667,142600
-121.83,37.38,15,4430,992,3278,1018,4.5533,209900
-119.12,35.33,4,8574,1489,4250,1444,5.1036,103400
-117.23,33.09,7,5320,855,2015,768,6.3373,279600
-121.29,38.04,16,2128,441,1860,459,3.1779,97300
-122.91,38.46,18,2021,353,912,329,4.5,251900
-120.96,37.67,18,1442,229,538,220,4.2969,163200
-118.16,34.19,40,1840,358,1218,347,4.25,177900
-119.26,36.3,18,3578,720,1540,640,2.425,84600
-118.3,34.26,28,1643,489,1142,458,3.1607,200600
-121.92,37.29,32,1260,199,560,207,6.5858,346700
-117.73,34.08,33,1350,265,1251,257,2.9063,115200
-118.3,33.95,35,1182,305,977,283,1.5898,94000
-122.3,37.89,46,1520,402,815,375,2.8036,211600
-121.98,37.96,22,2987,563,1420,540,3.65,204100
-120.61,35.1,14,2919,691,1896,577,2.4003,142100
-119.45,35.07,45,973,183,500,177,2.6389,30000
-118.2,33.79,47,767,195,569,195,2.9514,185200
-121.36,37.99,8,1801,380,684,350,4.2589,134900
-122.41,37.77,52,849,276,582,222,3.4671,250000
-117.16,32.75,19,5430,1593,2496,1484,2.9112,199100
-118.22,33.98,32,2643,737,2784,711,2.5352,184400
-121.98,37.8,17,3354,422,1457,425,7.6473,345800
-119.32,36.25,21,1231,204,609,206,2.8365,90000
-121.96,37.96,28,1838,273,899,270,5.2145,229200
-118.34,34.2,41,2860,682,1516,621,3.0431,262900
-117.91,33.82,29,1444,326,1038,271,2.3843,182900
-117.17,34.51,15,5151,942,2896,897,3.4875,90800
-120.37,37.98,29,2508,591,1112,550,1.6021,91400
-122.12,37.16,32,1602,317,752,275,5.1664,185100
-117.65,33.6,15,5736,800,2529,762,6.4114,278700
-118.32,34.02,50,1655,256,672,260,4.2554,194300
-119.31,36.34,32,1893,453,1744,425,1.4729,54100
-120.87,35.41,16,2168,444,782,374,3.0187,278100
-120.64,40.41,50,1741,424,987,383,1.5066,59300
-116.95,32.82,19,5308,1058,2852,1092,2.9161,135700
-117.31,34.1,28,2899,755,2406,655,1.5208,69500
-121.95,37.29,9,1503,381,715,349,4.6371,234300
-116.93,33.06,16,3490,545,1628,535,4.8836,239900
-118.4,33.85,29,2085,533,919,489,5.6017,430000
-119.17,34.25,15,1329,282,1001,284,3.65,189300
-117.6,34.11,18,6025,1062,3360,1028,4.8889,155700
-117.05,34.01,27,5484,1205,2645,1131,2.1927,116700
-122.24,37.77,43,955,284,585,266,2.3882,162500
-122.1,37.39,35,2471,349,881,342,7.6229,500001
-119.73,34.43,35,2703,654,1383,631,4.5278,340400
-122.24,37.48,47,2423,407,1010,407,6.2154,362700
-122.08,37.61,26,2261,443,1039,395,3.7931,203900
-122.39,37.74,45,1462,308,924,302,2.1767,185300
-121.85,37.72,43,228,40,83,42,10.3203,400000
-119.17,34.29,28,731,155,285,162,3.2917,225000
-122.41,37.74,34,1403,262,839,255,4.7031,255200
-122.29,37.87,52,895,198,386,204,3.875,182600
-118.02,34.13,32,3308,718,1803,667,3.9464,273600
-118.03,33.72,24,5203,957,2465,946,5.162999999999999,261000
-117.13,32.7,35,1179,344,1372,330,1.9509,70200
-118.21,33.96,39,2050,529,1959,485,2.1389,168900
-122.04,37.96,27,2587,729,1500,623,1.837,175000
-122.01,37.28,22,2038,260,773,281,9.1569,500001
-121.41,38.59,18,5527,1446,2883,1305,2.6485,114500
-117.29,33.18,17,821,176,436,168,3.1667,160600
-118.32,34.02,48,1949,308,823,340,3.3906,189700
-122.03,36.97,51,924,232,488,228,2.1964,234400
-117.01,34.01,15,5592,891,2419,840,4.7193,135200
-117.11,32.67,52,280,71,217,71,1.4844,83300
-119.09,34.22,8,40,10,309,16,4.0208,52500
-117.13,32.73,52,1148,214,481,215,5.454,240900
-121.85,36.6,41,3138,717,1890,642,2.4864,140400
-118.23,33.97,44,2748,715,2962,703,2.6951,169300
-117.13,32.74,52,1512,321,651,321,3.6852,185300
-118.27,33.82,33,1596,337,1650,329,4.3687,173500
-122.46,37.78,52,2165,580,1067,530,2.9293,350000
-118.52,34.04,47,1985,315,819,340,6.5147,500001
-121.34,38.61,20,5801,1148,2586,1063,3.9063,162100
-117.3,34.18,28,2685,425,1304,420,4.3676,111100
-121.22,37.97,37,1514,337,1121,337,2.401,58400
-119.71,34.42,52,1838,692,851,576,1.4851,237500
-117.99,34.14,30,2346,567,1988,474,2.5625,153000
-122.26,37.45,17,2742,441,986,421,5.9285,496000
-117.09,32.74,42,1986,472,1472,475,2.1757,110100
-122.23,37.78,44,2340,825,2813,751,1.6009,118100
-121.43,38.66,35,1814,367,1076,372,2.7179,81100
-118.31,33.88,32,2421,671,1491,587,3.5644,242300
-118.37,33.91,35,1742,283,812,282,5.6704,303700
-117.84,35.35,28,1913,486,858,371,1.9962,50800
-117.99,33.88,25,3401,509,1503,498,6.6704,240600
-118.15,34.18,46,2230,488,1985,456,2.2328,142100
-122.26,37.82,40,624,195,423,160,0.9506,187500
-117.85,33.92,11,3331,410,1460,416,8.0287,371800
-117.13,32.75,50,1476,354,698,354,3.0,168800
-118.42,34.24,35,1507,281,1025,286,4.5833,177200
-121.42,38.49,17,13180,2444,7235,2335,3.363,103000
-122.5,37.76,48,1408,295,891,269,3.8333,296300
-120.4,34.95,8,1885,286,835,290,5.0206,261000
-116.2,32.64,28,1608,409,567,254,1.4648,61800
-122.04,37.3,26,1714,270,778,262,6.075,417000
-119.06,36.09,11,2572,454,1402,415,3.6786,72900
-117.38,34.0,45,2881,514,1470,515,3.3687,123800
-122.06,37.7,37,1893,310,821,315,4.6005,231600
-118.37,33.97,32,6699,1781,2725,1544,3.3889,285700
-121.11,38.95,14,3888,890,1830,844,1.8238,158600
-121.65,39.13,11,4833,944,2336,841,2.6842,89100
-121.62,39.16,7,4480,776,2271,767,3.8089999999999997,110700
-118.17,33.89,11,3605,880,3637,873,2.6328,160700
-118.19,33.95,44,1436,271,850,269,3.2768,179100
-117.31,34.04,29,2481,383,1188,385,4.7344,134600
-118.3,33.84,37,1241,226,621,255,4.9196,232400
-120.43,34.96,24,2739,414,1171,413,4.8155,162900
-122.73,38.44,20,2919,508,1711,500,3.875,140300
-118.51,34.28,29,4239,653,1890,631,6.3911,301700
-117.4,34.18,16,1769,254,1778,251,5.3671,181800
-118.16,34.6,5,7294,1139,3123,930,4.9904,154100
-117.18,32.83,23,2105,525,1218,484,3.375,184100
-117.8,33.85,16,4151,637,1558,604,5.806,304900
-117.62,33.42,27,1444,412,597,311,3.1395,310000
-117.41,34.0,26,2372,621,1647,612,1.4719,88600
-117.14,32.79,35,3578,582,1568,553,4.7813,188600
-118.0,34.13,35,1005,224,742,221,3.5481,158100
-121.31,38.68,16,5179,1271,2181,1151,2.1009,82500
-118.36,33.82,28,67,15,49,11,6.1359,330000
-118.02,33.77,33,2683,436,1520,456,5.0091,211500
-117.15,32.91,14,1259,238,889,247,4.9464,174800
-119.04,35.37,46,1637,338,714,297,2.1818,75300
-122.2,38.1,5,9567,1729,4620,1580,4.4821,210000
-119.29,36.32,27,1513,374,839,350,1.2012,64600
-118.31,34.02,44,1555,324,931,265,1.4712,105800
-120.09,36.95,16,3222,511,1425,503,4.1544,119400
-122.23,37.75,50,1542,289,654,268,3.9632,240000
-117.21,32.8,34,1398,222,532,244,3.7102,289600
-117.99,33.68,14,3305,841,2272,769,3.4899,216700
-122.05,38.26,32,1070,199,631,195,2.6827,98900
-118.03,34.06,31,1513,389,1396,364,2.4706,170600
-121.24,38.66,14,3335,440,1329,429,6.2082,250300
-119.71,36.81,19,2282,550,1034,500,1.6618,69700
-122.46,37.73,52,2857,469,1431,496,5.2088,344200
-116.98,32.71,18,2355,444,1277,433,3.4551,121400
-120.57,37.43,39,2235,412,1268,402,2.6758,74600
-117.18,32.7,42,1691,286,761,281,5.1386,404500
-121.64,37.15,13,4780,798,2795,764,6.1684,288100
-118.1,33.85,36,956,159,416,157,4.6429,223700
-117.81,34.12,23,7063,1176,3100,1112,4.8229,192600
-118.42,34.04,46,1508,276,639,273,4.925,409800
-121.42,38.57,38,1878,338,710,342,3.7731,161400
-124.21,41.77,17,3461,722,1947,647,2.5795,68400
-120.79,38.83,15,1374,291,709,239,1.7222,118500
-119.85,36.76,10,2067,450,845,354,1.8214,80100
-122.67,38.44,32,3771,741,1786,721,3.2415,172200
-122.66,40.52,13,3013,486,1361,515,4.5357,171200
-122.15,37.75,44,1938,399,946,331,3.225,135800
-120.08,36.95,41,1164,211,476,171,2.4196,70700
-121.45,38.48,24,1766,340,1028,372,3.5402,98700
-117.96,34.0,34,2777,540,1954,522,4.5163,183800
-123.32,40.43,15,661,146,131,57,0.4999,56700
-120.55,38.46,16,1443,249,435,181,3.2031,129200
-122.62,38.25,33,1453,250,677,237,4.0962,170200
-119.88,36.81,30,2288,474,1435,425,1.3221,61200
-118.07,34.14,42,3200,685,1668,628,3.375,260400
-121.26,38.13,38,1419,411,1226,397,2.2188,68800
-117.79,33.76,25,2037,252,796,249,11.0546,487200
-118.29,33.89,33,2138,567,1072,528,2.7428,208900
-121.82,37.29,16,2085,394,1705,391,5.0225,222800
-118.32,34.01,52,3104,645,1498,581,2.6667,128000
-118.42,34.13,38,3830,518,1292,516,12.7823,500001
-121.76,36.9,44,919,309,1321,301,2.0775,121400
-118.29,33.96,31,4022,1208,3707,1007,1.3096,116300
-117.69,33.66,11,2630,327,1256,352,8.2953,350500
-117.98,33.82,34,1038,175,578,174,4.9219,200000
-117.11,34.43,14,3026,556,1349,485,2.8021,111200
-117.73,34.1,37,3457,544,1344,530,5.8891,226000
-121.81,37.29,15,5957,1037,3838,997,6.2907,253100
-122.02,37.37,8,5686,1489,3250,1329,4.2782,327700
-117.25,34.06,18,5009,1108,2948,963,3.0042,106500
-118.22,33.93,30,443,170,903,189,2.1964,125000
-121.91,36.59,31,2034,335,966,322,4.6964,291300
-118.4,34.19,37,934,231,587,230,3.625,181300
-121.74,38.55,34,2299,579,1300,536,1.6435,148500
-118.31,33.94,41,1353,286,751,250,2.7401,131700
-121.26,38.74,22,7173,1314,3526,1316,3.3941,135900
-118.53,34.37,8,3839,852,1342,593,3.9118,333700
-118.12,33.75,41,2072,491,742,414,3.9934,500001
-117.63,34.12,4,4323,775,1479,663,6.0758,226800
-118.24,33.96,39,643,186,821,191,2.5729,97300
-122.67,38.47,16,3452,791,1567,731,2.4722,194300
-118.34,34.19,48,814,165,490,176,3.1406,223100
-117.9,34.09,34,1562,272,825,266,4.125,220800
-121.62,37.61,26,1786,306,771,279,5.7239,430600
-118.43,34.25,38,921,239,1023,241,3.4514,151900
-117.74,33.61,17,2116,474,662,443,3.5625,180800
-119.29,36.31,14,2382,377,1278,386,5.1896,101900
-117.01,32.77,43,841,192,496,207,3.0179,149300
-118.3,33.98,52,1371,315,986,277,2.9432,94000
-118.65,34.18,27,1793,339,1016,326,4.925,240300
-122.45,37.77,52,2296,509,1039,472,4.1417,500000
-124.14,40.67,23,580,117,320,109,4.2054,130600
-121.79,38.0,36,1141,234,562,213,2.5893,108500
-118.85,34.2,28,2040,297,848,280,6.7612,323700
-119.82,37.57,13,1713,340,643,241,2.662,92400
-118.61,34.17,31,1689,362,705,360,4.0,278500
-117.9,33.74,19,1566,379,1032,330,2.2105,180400
-118.16,34.09,36,3334,920,2881,800,2.1696,170800
-121.94,37.32,46,2451,472,1163,448,4.8519,225800
-118.44,34.31,22,3182,822,2661,746,2.7472,160100
-121.52,39.49,30,1217,238,677,233,2.6563,63600
-121.25,38.04,26,3080,473,1257,465,4.9861,201800
-119.09,35.35,14,2113,256,842,265,8.5325,224100
-118.08,33.76,25,1995,637,743,597,1.4617,46900
-122.57,38.11,32,3521,748,1706,723,3.4705,228600
-118.35,33.86,28,2075,463,1216,446,3.9732,281500
-118.08,34.09,32,3214,718,2316,751,3.7066,206800
-119.74,34.44,26,4257,1031,1861,950,3.4047,294500
-118.03,33.85,23,5495,1141,2873,1004,3.9156,224100
-116.97,32.78,35,1113,236,681,246,2.9784,136400
-122.47,37.78,52,1941,436,955,425,4.1339,396400
-117.08,32.75,15,1821,516,1385,439,2.5101,95300
-118.45,34.04,19,3330,1010,1837,915,3.0173,393800
-117.05,34.03,28,3009,698,1200,626,1.3993,104600
-117.3,33.06,24,2171,511,870,442,3.194,276300
-121.32,39.43,18,1860,409,741,349,1.8672,84700
-118.04,33.72,14,4494,1048,2222,963,4.7821,169400
-118.21,33.88,31,1332,417,1405,363,2.0125,143000
-118.35,34.1,26,3977,1050,1720,935,3.358,364500
-117.81,33.89,13,3252,583,1546,557,5.8243,297900
-118.18,34.13,52,2228,475,1311,452,3.5341,182100
-122.05,37.38,23,3200,907,2029,866,3.5649,450000
-122.21,37.79,52,762,190,600,195,3.0893,125000
-121.62,39.12,35,2787,587,1431,601,2.5469,65900
-122.43,37.71,35,2878,564,1633,528,4.5,266900
-122.19,37.77,41,2036,510,1412,454,2.0469,89300
-115.88,32.93,15,208,49,51,20,4.0208,32500
-118.21,33.84,28,822,205,627,192,3.4583,166300
-117.91,33.62,32,1997,427,944,426,4.4063,500001
-119.83,36.82,14,1087,165,365,176,7.2909,155600
-121.95,36.6,32,3152,504,793,426,7.1198,469900
-117.99,33.93,36,1287,233,779,229,4.8523,175800
-121.28,38.77,6,3819,550,1738,587,5.8718,201400
-122.01,37.56,24,2563,485,1174,501,3.8179,216100
-118.38,33.77,17,10950,2207,4713,2043,6.3064,418300
-117.58,33.88,16,1739,478,1235,420,2.2969,116100
-122.09,37.65,35,1184,200,572,194,4.7143,193800
-118.26,34.23,33,1805,303,838,301,5.4306,326600
-118.25,34.23,41,1979,496,1157,459,4.4083,217700
-121.44,38.43,3,39320,6210,16305,5358,4.9516,153700
-121.36,38.42,6,3254,465,1168,345,5.1811,188400
-119.79,36.78,41,2227,462,1129,415,2.319,59100
-121.37,37.77,19,2610,474,1290,452,4.1298,222800
-117.71,33.58,2,2530,562,1066,510,4.6336,187500
-118.22,33.79,48,143,41,222,50,1.7,104200
-117.88,33.77,31,2549,355,1044,362,6.9737,288800
-120.39,37.98,52,1056,274,584,255,2.1513,86700
-118.36,34.02,46,3745,798,1502,808,3.8643,195800
-118.4,34.0,10,1526,339,705,268,5.8083,321800
-124.15,41.81,17,3276,628,3546,585,2.2868,103100
-122.04,37.34,20,4475,1048,2271,1021,4.8836,396200
-124.1,40.9,18,4032,798,1948,775,2.7321,92600
-120.73,37.38,37,653,176,827,176,1.9236,64400
-122.28,37.9,52,2003,250,658,244,10.0825,397000
-117.17,32.68,16,5895,1424,873,522,7.3669,187500
-118.43,34.02,38,2172,437,830,368,3.9091,500001
-122.09,37.41,8,1480,414,856,445,2.8203,284100
-117.53,33.83,7,2191,324,1156,310,5.5362,195600
-117.7,33.56,2,2112,305,703,261,6.9343,298500
-117.13,32.98,5,2276,311,1158,317,6.4321,271900
-121.46,38.58,52,4408,807,1604,777,3.8914,181600
-117.13,33.14,5,2618,539,1320,512,4.1053,171400
-121.24,37.79,7,5151,867,2553,805,4.075,195000
-116.28,32.84,18,382,128,194,69,2.5179,58800
-122.69,37.91,43,1730,326,629,279,4.3194,238700
-118.33,34.03,39,2840,826,1911,688,1.9018,137500
-121.4,36.85,50,2666,613,1768,555,2.6598,157300
-120.39,37.96,10,2554,501,922,439,2.1094,164000
-118.41,34.07,47,2979,626,1076,571,3.9904,500001
-118.15,34.04,39,1099,263,787,269,3.7794,194600
-117.93,33.64,31,1291,356,1252,373,2.7143,185400
-122.36,37.94,41,2591,585,1638,462,1.8219999999999998,79700
-118.96,35.41,29,3548,729,1542,659,2.947,87100
-119.18,34.21,30,1096,231,741,229,3.8625,234700
-117.02,32.74,12,3301,963,2000,879,1.8594,119200
-118.46,34.42,25,2988,525,1884,513,4.7007,169500
-118.1,33.8,37,1814,329,850,328,5.0574,240800
-119.78,36.75,49,1175,307,982,278,1.2937,52000
-118.41,33.96,32,1044,219,567,222,4.1471,284400
-118.46,34.21,7,2081,657,1456,535,3.5,186900
-118.55,34.39,16,8726,1317,3789,1279,6.8419,323300
-118.14,34.02,42,1384,458,1825,455,1.4178,145500
-122.43,37.77,52,2416,620,1188,591,2.3887,337500
-121.75,38.55,26,4802,950,2199,939,3.7452,227700
-118.32,33.79,35,2924,658,1675,602,3.8287,279900
-118.35,34.16,45,1390,281,538,270,4.2212,293800
-117.25,32.74,36,3548,956,1648,866,2.6962,288200
-117.97,33.68,26,1616,292,700,241,5.5105,232100
-118.26,33.9,22,894,232,754,222,2.0096,110700
-117.04,32.64,5,2329,542,1213,514,4.0298,225600
-117.13,32.91,16,3230,579,1825,576,4.2969,151200
-119.03,34.21,11,4528,729,2398,684,5.3044,319000
-119.29,34.28,38,2387,748,1537,741,2.3147,192500
-119.18,34.27,6,2307,386,910,364,5.215,279500
-117.76,33.72,11,4508,618,1993,573,10.4498,386100
-114.68,33.49,20,1491,360,1135,303,1.6395,44400
-116.94,32.8,21,7906,2292,4868,2117,1.8937,109800
-118.29,34.03,27,1084,287,1085,279,2.135,119600
-118.45,34.04,23,3771,1321,2031,1241,2.7679,277500
-119.71,34.42,49,1560,436,1041,411,2.925,246900
-116.36,33.88,11,12557,3098,2453,1232,1.7844,78500
-118.13,33.94,34,522,138,373,139,3.5481,265000
-123.35,40.99,23,141,59,47,23,1.125,66000
-122.49,37.78,42,2723,579,1419,519,3.6429,328400
-121.84,37.66,13,13182,2074,4847,1950,5.6417,352900
-118.03,33.84,28,3857,857,2328,830,4.0156,196000
-118.12,33.89,22,6876,1960,5162,1879,2.9293,170800
-122.26,37.56,23,7283,1342,3399,1298,5.6683,391000
-122.13,37.73,33,1996,268,686,270,6.9096,341800
-122.27,38.32,31,1267,319,545,297,1.9946,206800
-118.26,34.06,42,2541,1282,3974,1189,1.5854,87500
-117.7,33.68,29,5650,1084,3985,1056,2.8192,162500
-117.06,33.03,23,2023,309,678,340,7.0913,265400
-119.83,36.71,43,355,81,233,75,2.4167,73900
-117.76,34.06,47,508,108,384,86,1.9583,92600
-117.92,33.88,52,1270,276,609,211,3.75,232500
-122.25,37.79,52,1339,391,1086,363,2.181,138800
-120.96,37.48,32,1256,212,682,236,2.9844,135900
-118.17,33.88,29,815,206,590,183,3.0052,166700
-117.13,32.94,15,4846,825,2797,823,4.9375,180400
-122.67,38.45,24,2622,525,1027,510,2.9222,242600
-121.34,38.67,34,1503,264,731,285,4.0352,118500
-118.36,33.84,22,11016,3170,6664,2838,3.7030000000000003,361300
-118.9,34.3,13,5591,1013,3188,971,5.5925,208600
-119.36,36.33,11,3221,617,1351,565,2.9844,132000
-118.88,34.02,19,15990,2611,5175,2173,7.7848,500001
-119.56,36.09,35,1648,285,792,265,3.2847,64700
-118.05,33.87,18,4928,773,2952,754,5.8855,313800
-121.33,38.0,14,3731,772,1679,750,3.1369,119600
-123.22,40.54,27,1573,361,847,330,1.9034,49600
-118.15,33.78,13,3056,861,1600,824,3.3003,207800
-118.04,33.72,15,1836,490,942,477,4.0238,182500
-118.15,33.79,5,3700,993,1657,848,3.7826,196300
-117.82,33.71,9,5206,992,4660,978,2.885,162500
-118.14,33.89,33,2867,786,1774,705,2.9292,183400
-122.73,38.47,16,1834,391,994,390,3.7266,156500
-120.63,36.98,20,2380,489,1581,505,2.0595,61300
-123.73,39.44,32,790,151,380,142,2.7,165000
-117.96,34.09,6,1954,534,1584,496,3.1621,131000
-118.48,34.21,25,2879,723,2077,649,3.3864,197400
-121.86,39.76,19,7254,1785,4030,1667,2.0094,87300
-117.77,33.69,14,1413,372,744,338,3.7988,184100
-122.52,37.89,17,4363,1041,1640,989,3.9531,417600
-122.08,37.64,36,1116,199,662,226,5.7309,177900
-116.95,32.73,17,1635,272,960,279,5.2671,157100
-122.16,37.73,49,1699,408,768,385,2.8301,171600
-117.19,32.8,16,2593,794,1235,684,3.1304,166300
-122.0,36.98,20,2502,454,981,399,4.3,275000
-124.26,40.58,52,2217,394,907,369,2.3571,111400
-117.39,34.1,12,7184,1516,4862,1235,2.4492,103800
-118.05,34.08,30,1572,427,1857,428,2.4914,159200
-117.64,33.45,26,1528,234,607,218,6.2871,325500
-118.44,33.96,33,2799,491,978,447,5.6435,500001
-120.29,38.01,12,3014,560,1424,485,3.0729,105100
-120.45,37.31,20,4379,753,2055,716,3.7652,133500
-118.45,33.96,24,3097,791,1075,639,5.723,500001
-121.86,37.23,24,4337,670,1936,652,5.8904,271400
-118.38,33.99,21,11308,3039,5127,2839,4.6277,228300
-118.17,34.09,45,1327,271,1069,284,3.3977,153800
-115.52,32.73,17,1190,275,1113,258,2.3571,63100
-117.21,33.82,2,4198,805,1943,673,3.9052,122100
-118.47,34.15,43,804,117,267,110,8.2269,500001
-118.26,33.85,24,9071,1335,4558,1327,5.542000000000001,197500
-117.11,32.75,21,2127,658,1812,603,1.6896,100000
-117.05,33.52,5,3471,530,1541,502,4.8083,347700
-117.84,35.54,11,1751,316,765,296,5.0762,98000
-121.28,37.95,46,1026,330,1109,333,1.2904,63300
-123.79,39.44,16,2017,423,1177,414,3.2171,116200
-118.25,33.79,39,981,286,1183,298,1.9208,139800
-117.89,33.61,45,1883,419,653,328,4.2222,500001
-118.13,33.87,45,1606,300,735,295,4.6765,198400
-122.65,38.37,15,1848,280,786,282,5.7204,344100
-118.33,33.94,31,3757,1102,3288,964,1.9309,137500
-117.98,33.69,22,3957,520,1774,527,7.0907,350200
-121.7,36.6,19,3562,530,1607,505,5.0162,283100
-117.09,32.78,28,1708,393,816,393,2.9881,165300
-121.87,37.33,37,3137,685,2048,651,3.0156,270300
-118.3,33.94,36,3504,862,2521,836,2.5679,114900
-117.98,34.04,34,2547,537,2108,498,3.4722,154600
-122.66,38.47,20,2806,477,1369,460,4.75,190500
-118.23,34.15,40,2124,370,998,372,5.3369,370400
-118.21,33.88,38,929,166,686,183,3.4485,119400
-118.36,34.01,33,3140,466,1214,464,6.5044,350400
-122.2,37.79,45,2021,528,1410,480,2.7788,115400
-117.71,33.6,25,1949,459,602,428,2.7601,72500
-120.96,39.12,24,2069,436,909,374,2.5326,139100
-118.1,34.1,41,1379,315,1249,309,2.6553,183100
-122.75,38.46,13,4323,1020,2566,728,3.0147,142800
-122.41,38.16,37,1549,301,863,275,2.7457,254700
-118.42,34.02,28,3167,737,1248,665,3.1941,394700
-118.2,33.8,52,1786,445,1090,430,2.8988,194900
-117.88,33.9,21,3180,434,1413,391,6.5945,277300
-121.26,37.96,43,527,133,367,152,2.5,63600
-117.42,34.09,28,3193,525,1750,523,4.1375,128300
-117.21,34.49,14,2125,348,1067,360,3.6333,116200
-122.28,37.53,15,5417,1199,2593,1098,4.8047,438000
-121.31,38.0,35,2097,351,977,358,4.3958,108400
-117.3,33.08,24,2628,527,1389,520,4.0,343200
-117.88,33.76,17,1768,474,1079,436,1.7823,205300
-121.34,38.0,32,3877,687,1642,647,4.0444,129200
-118.37,33.92,44,938,181,502,171,4.4722,218300
-118.34,34.17,46,1718,344,756,343,3.2125,247000
-121.01,37.72,23,1373,264,677,245,2.5486,161100
-121.91,36.63,42,817,194,391,193,2.1776,279200
-118.18,33.92,29,749,185,708,196,2.4583,136900
-117.87,33.89,22,2340,664,1382,546,3.343,184600
-122.16,37.17,35,6422,1380,2755,1064,5.0165,202300
-117.71,33.63,16,1565,274,950,280,5.8399,220600
-118.28,34.04,48,1521,513,1772,458,2.2232,162500
